annee,trimestre,type,"1- Alimentation, boissons et tabacs",2- Energie et lubrifiants,3- Prod. bruts animale et vegetale,4- Prod. bruts minerale,5- Demi-Produits,6- Equipement agricole,7- Equipement industriel,8- Prod. finis consommation,TOTAL
2010,T1,export,152.9,125.6,213.8,219.7,205.1,130.6,130.6,123.1,155.7
2010,T1,import,184.7,280.9,198.2,174.9,182.0,167.6,160.7,164.9,189.9
2010,T2,export,157.8,247.0,194.4,278.9,244.2,138.2,138.2,130.0,173.1
2010,T2,import,187.6,280.0,265.5,202.0,192.4,198.3,197.2,162.2,202.8
2010,T3,export,163.3,202.2,243.3,280.2,252.5,162.3,162.3,150.4,187.1
2010,T3,import,206.9,287.3,263.0,191.2,193.9,195.3,187.0,166.4,205.3
2010,T4,export,176.6,252.7,217.0,347.6,290.1,184.4,184.4,151.1,205.5
2010,T4,import,253.3,328.7,271.3,225.0,211.4,165.0,180.6,169.8,217.2
2011,T1,export,182.7,532.3,225.0,360.1,297.0,164.4,164.4,143.4,205.9
2011,T1,import,323.4,364.8,326.5,300.6,229.8,182.7,175.2,181.8,240.9
2011,T2,export,168.2,503.6,213.2,347.3,307.1,168.7,168.7,147.5,205.9
2011,T2,import,250.9,408.9,278.6,339.1,238.0,181.9,180.9,180.5,242.3
2011,T3,export,160.0,537.1,179.0,395.0,320.4,189.6,189.6,157.5,216.6
2011,T3,import,227.6,385.8,317.5,434.3,243.2,193.2,185.0,182.8,242.6
2011,T4,export,179.0,792.2,149.8,418.5,310.9,183.6,183.6,137.8,214.2
2011,T4,import,296.9,390.3,293.4,373.5,251.1,190.8,208.8,189.8,254.2
2012,T1,export,177.8,1235.7,146.9,404.1,311.2,206.4,206.4,158.9,228.2
2012,T1,import,271.7,474.3,289.4,425.6,241.5,207.9,199.4,202.5,268.0
2012,T2,export,185.1,619.3,166.1,341.6,286.2,176.9,176.9,167.4,212.2
2012,T2,import,289.0,443.8,315.9,402.0,248.9,202.7,201.6,198.2,265.2
2012,T3,export,195.7,904.5,208.0,408.8,311.5,163.0,163.0,180.9,229.1
2012,T3,import,279.0,413.1,277.5,375.1,246.3,212.1,203.2,195.2,258.0
2012,T4,export,183.4,1102.3,230.9,352.0,300.4,178.5,178.5,177.8,225.3
2012,T4,import,358.0,523.1,292.3,403.9,239.0,186.3,203.9,188.3,277.6
2013,T1,export,99.7,97.3,98.2,89.1,100.4,99.7,101.4,103.9,95.4
2013,T1,import,99.5,68.8,103.3,87.9,90.6,83.9,101.3,101.6,99.9
2013,T2,export,100.0,90.3,95.7,86.2,99.3,98.3,100.1,105.3,97.0
2013,T2,import,99.2,106.5,102.9,83.6,91.5,94.5,102.9,101.9,97.6
2013,T3,export,97.3,94.5,95.1,74.9,98.1,99.3,102.1,105.0,94.2
2013,T3,import,100.6,101.6,101.7,78.5,84.9,96.2,104.2,99.9,98.2
2013,T4,export,93.1,91.3,91.4,62.8,98.9,104.0,100.9,105.7,90.8
2013,T4,import,99.1,97.4,101.8,71.1,71.3,92.6,104.5,104.1,96.6
2014,T1,export,93.0,86.4,91.9,75.3,97.3,98.8,100.4,107.3,95.1
2014,T1,import,100.0,112.1,104.9,77.9,80.0,83.9,104.0,106.6,95.2
2014,T2,export,96.4,85.9,92.2,87.8,97.7,102.0,100.4,106.5,95.1
2014,T2,import,99.2,104.3,102.1,79.8,81.5,90.5,102.0,107.9,95.8
2014,T3,export,93.2,74.3,92.6,87.9,96.9,99.7,103.2,107.1,96.0
2014,T3,import,102.6,104.2,103.8,75.4,87.0,83.1,99.9,105.5,91.9
2014,T4,export,92.2,61.0,90.9,90.2,97.7,99.8,102.8,106.9,96.6
2014,T4,import,104.2,90.5,106.3,81.5,90.3,78.6,99.5,103.7,88.1
2015,T1,export,95.5,55.5,90.0,91.4,96.3,97.2,101.4,108.0,97.6
2015,T1,import,105.7,60.4,109.1,91.9,96.4,85.5,94.4,102.0,86.9
2015,T2,export,94.6,59.4,91.3,117.0,97.2,101.6,103.2,108.3,100.0
2015,T2,import,105.4,84.2,109.1,95.1,97.0,85.1,101.6,103.2,89.2
2015,T3,export,90.9,58.7,88.9,94.3,96.8,100.1,103.2,107.9,100.2
2015,T3,import,105.6,106.7,107.6,93.6,95.5,77.7,100.8,104.0,87.9
2015,T4,export,88.8,58.5,88.3,83.1,95.7,100.6,102.5,107.3,97.8
2015,T4,import,105.2,104.4,109.3,86.6,90.8,81.7,97.5,105.1,87.2
2016,T1,export,85.9,44.1,87.7,86.3,93.4,103.6,104.2,107.8,94.3
2016,T1,import,105.6,26.3,117.3,78.2,88.5,123.4,96.5,104.4,83.1
2016,T2,export,86.3,46.8,88.4,71.5,92.4,102.9,103.1,108.4,98.8
2016,T2,import,110.1,73.4,113.6,105.3,84.4,91.0,98.4,105.1,83.1
2016,T3,export,89.7,49.6,90.2,63.6,92.7,102.6,105.4,107.7,93.8
2016,T3,import,114.3,79.0,115.8,73.9,78.7,99.3,96.7,102.9,84.4
2016,T4,export,89.5,72.7,92.3,63.5,91.6,100.2,101.5,106.2,93.0
2016,T4,import,108.3,78.3,115.3,71.4,78.7,104.7,99.2,100.5,89.7
2017,T1,export,92.5,67.0,94.3,65.8,93.1,102.7,101.3,107.4,93.9
2017,T1,import,112.4,82.2,126.5,77.3,79.1,133.0,96.2,100.2,88.0
2017,T2,export,91.4,60.0,90.5,68.6,93.4,111.8,102.5,108.2,95.3
2017,T2,import,109.7,109.2,128.5,77.5,80.7,157.2,102.0,100.8,87.0
2017,T3,export,87.0,61.4,90.1,68.9,95.2,105.7,102.9,108.1,94.7
2017,T3,import,110.1,108.1,130.4,76.2,78.3,156.5,101.6,101.6,87.3
2017,T4,export,86.5,68.6,92.2,78.2,95.5,102.3,101.7,107.7,95.7
2017,T4,import,112.9,118.1,128.5,75.7,79.4,103.7,101.1,102.2,88.6
2018,T1,export,86.5,70.1,91.3,93.6,96.5,107.4,103.8,108.2,99.0
2018,T1,import,115.5,139.1,139.1,85.1,82.6,162.1,104.1,103.9,90.0
2018,T2,export,88.1,77.1,91.4,90.9,95.9,108.2,104.3,108.5,99.3
2018,T2,import,114.1,144.3,134.3,78.4,87.3,156.9,104.7,103.0,91.7
2018,T3,export,87.3,80.8,92.6,97.4,96.2,107.5,104.8,106.5,100.5
2018,T3,import,116.0,142.8,129.9,70.0,92.8,203.4,107.2,101.9,92.7
2018,T4,export,88.2,81.6,90.0,101.6,95.7,100.3,102.7,108.0,99.5
2018,T4,import,113.6,143.8,131.2,76.7,94.1,181.4,103.1,100.1,92.3
2019,T1,export,89.9,71.4,88.6,94.5,95.2,105.5,101.9,107.1,98.8
2019,T1,import,114.1,136.3,131.6,78.8,89.6,180.5,104.1,100.3,89.9
2019,T2,export,87.9,75.5,87.8,80.0,94.2,106.5,103.9,108.2,96.9
2019,T2,import,111.8,138.8,129.6,76.5,88.3,152.7,99.8,99.5,90.6
2019,T3,export,86.4,67.8,85.6,69.9,93.1,103.2,104.4,108.1,95.9
2019,T3,import,112.0,139.6,136.6,76.0,81.8,168.7,101.5,100.4,88.4
2020,T1,export,98.3,92.9,99.6,93.1,89.5,94.6,100.6,100.6,97.4
2020,T2,export,97.0,70.0,106.8,94.3,93.5,91.5,102.3,102.5,98.4
2020,T3,export,97.0,69.4,105.8,93.6,90.8,104.6,106.2,97.1,97.3
2020,T4,export,93.6,70.6,110.4,96.2,92.6,102.2,105.5,97.7,97.3
2021,T1,export,99.0,78.2,109.6,97.5,102.0,108.4,100.4,96.2,99.2
2021,T2,export,93.2,85.6,129.6,110.7,127.7,99.0,101.9,98.5,106.0
2021,T3,export,102.3,99.6,129.6,115.4,153.4,97.1,100.7,101.6,115.6
2021,T4,export,97.6,131.0,135.2,143.5,172.1,98.5,99.8,109.7,121.2
2022,T1,export,97.5,123.0,166.5,151.1,194.4,104.3,104.5,102.0,124.2
2022,T2,export,95.9,137.7,179.8,143.9,245.9,94.4,110.1,105.3,135.7
2022,T3,export,104.3,129.9,155.9,186.1,239.8,95.6,120.5,105.6,142.0
2022,T4,export,98.0,144.7,161.4,202.1,186.0,99.6,137.3,109.8,134.2
2023,T1,export,106.4,120.9,165.2,158.0,164.1,98.9,122.6,111.8,129.3
2023,T2,export,102.3,98.1,181.8,145.9,146.2,108.1,124.9,112.6,125.0
2023,T3,export,103.1,94.8,207.5,138.9,117.3,107.9,125.1,110.1,116.3
2023,T4,export,102.5,102.3,221.8,119.4,145.0,98.4,128.1,108.7,122.6
2024,T1,export,96.9,97.0,214.8,124.9,121.0,85.8,124.6,111.0,117.2
2024,T1,import,131.6,109.8,114.2,66.2,122.7,119.7,100.9,118.2,113.3
2024,T2,export,95.8,97.7,201.6,130.8,121.0,88.9,126.0,113.5,118.1
2024,T2,import,129.3,104.0,112.6,64.5,121.7,124.9,96.8,120.5,111.1
2024,T3,export,98.1,97.9,184.2,121.5,125.8,96.0,122.3,109.5,116.9
2024,T3,import,125.7,97.8,112.3,64.4,126.5,110.7,99.6,117.6,110.8
2024,T4,export,94.8,97.4,171.5,115.3,128.1,90.2,116.4,109.1,115.1
2024,T4,import,129.5,98.0,111.7,72.4,122.6,104.8,102.1,115.5,111.1
2025,T1,export,100.7,89.5,164.7,121.3,131.1,73.8,117.4,108.2,117.0
2025,T1,import,132.2,98.2,112.5,84.5,119.7,112.1,96.9,113.7,109.3
2025,T2,export,94.9,85.9,151.3,116.4,132.9,77.9,118.7,111.1,117.1
2025,T2,import,127.1,84.0,107.5,98.6,116.3,98.7,92.1,113.3,104.8
2025,T3,export,95.2,76.1,152.4,126.5,139.2,82.2,117.2,107.7,117.4
2025,T3,import,120.9,86.5,109.7,109.3,115.5,111.2,90.9,114.0,104.4
